거래일자,가맹점명,이용금액,카드번호
2026-06-03,스타벅스 강남역점,5800,5409-12**-****-3456
2026-06-05,카카오T택시,12400,5409-12**-****-3456
2026-06-07,이마트 성수점,87500,5409-12**-****-3456
2026-06-10,한국전력공사,64200,5409-12**-****-3456
2026-06-12,넷플릭스,17000,5409-12**-****-3456
2026-06-15,CGV 용산아이파크몰,28000,5409-12**-****-3456
2026-06-18,온누리약국,15600,5409-12**-****-3456
2026-06-20,쿠팡,45300,5409-12**-****-3456
2026-06-25,GS25 역삼점,6200,5409-12**-****-3456
2026-06-28,서울교통공사,1400,5409-12**-****-3456
2026-07-01,이디야커피 신논현점,4500,5409-12**-****-3456
2026-07-02,배달의민족,23400,5409-12**-****-3456
2026-07-03,카카오T택시,9800,5409-12**-****-3456
2026-07-04,무신사,132000,5409-12**-****-3456
2026-07-05,KT,54900,5409-12**-****-3456
2026-07-06,유튜브프리미엄,14900,5409-12**-****-3456
2026-07-08,교보문고 광화문점,32000,5409-12**-****-3456
2026-07-09,서울대병원,48000,5409-12**-****-3456
2026-07-10,이마트 왕십리점,95200,5409-12**-****-3456
2026-07-11,스타벅스 역삼점,6100,5409-12**-****-3456
2026-07-12,멜론,10900,5409-12**-****-3456
2026-07-13,GS칼텍스 주유소,70000,5409-12**-****-3456
2026-07-14,다이소 강남점,8900,5409-12**-****-3456
2026-07-15,관리비자동이체,180000,5409-12**-****-3456
2026-07-16,김밥천국,7000,5409-12**-****-3456
2026-07-17,쿠팡,28700,5409-12**-****-3456
2026-07-18,카카오T택시,11200,5409-12**-****-3456
2026-07-20,CGV 용산아이파크몰,15000,5409-12**-****-3456
2026-07-22,GS25 역삼점,5400,5409-12**-****-3456
2026-07-23,서울교통공사,1400,5409-12**-****-3456
